child	parent
https://w3id.org/railsec-scope/results#PerformanceMeasurement	http://www.w3.org/ns/prov#Entity
https://w3id.org/railsec-scope/results#PerformanceTarget	https://w3id.org/railsec-scope/criteria#VersionedArtefact
https://w3id.org/railsec-scope/results#ReachabilityResult	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#Run	http://www.w3.org/ns/prov#Activity
https://w3id.org/railsec-scope/results#RunComparison	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#SafetyImpactResult	https://w3id.org/railsec-scope/results#DerivedResult
https://w3id.org/railsec-scope/results#Selection	https://w3id.org/railsec-scope/criteria#VersionedArtefact
https://w3id.org/railsec-scope/results#UnresolvedInput	http://www.w3.org/ns/prov#Entity
https://w3id.org/railsec-scope/rules#DLSafeRule	http://www.w3.org/2002/07/owl#Thing

equivalent_class_a	equivalent_class_b
